1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,City_Rent,Full_Address,Property_Name_Rent,Rent_link,Square_Feet,Square_Feet_Data,State_Rent,Studio,Type,Zip_code
"$3,210 ","$3,790 ",,,,Santa Clara,"3320 Montgomery Dr, Santa Clara, CA 95054",Santa Clara Square Apartment Homes,https://www.apartments.com/santa-clara-square-apartment-homes-santa-clara-ca/rqgtnx3/,,,CA,"$2,865 ",Apartment,95054
"$2,146 ","$2,792 ","$5,504 ",,,Brea,"420 La Crescenta Dr, Brea, CA 92823",Pearl La Floresta,https://www.apartments.com/pearl-la-floresta-brea-ca/qt47l1y/,,,CA,,Apartment,92823
,"$3,275 ","$4,600 ",,,San Jose,"787 The Alameda, San Jose, CA 95126",Modera the Alameda,https://www.apartments.com/modera-the-alameda-san-jose-ca/7f64s5w/,,,CA,,Apartment,95126
"$1,895 ","$2,050 ","$2,580 ",,,Tracy,"2725 Pavillion Pkwy, Tracy, CA 95304",Aspire Apartments,https://www.apartments.com/aspire-apartments-tracy-ca/l940xjf/,,,CA,,Apartment,95304
"$2,592 ","$3,365 ",,,,Long Beach,"245 W Broadway, Long Beach, CA 90802",AMLI Park Broadway,https://www.apartments.com/amli-park-broadway-long-beach-ca/qdvqpvx/,,,CA,"$2,250 ",Apartment,90802
"$4,625 ","$5,950 ","$15,000 ",,,Palo Alto,"501 Forest Ave, Palo Alto, CA 94301","THE MARC, PALO ALTO",https://www.apartments.com/the-marc-palo-alto-palo-alto-ca/mwmch1j/,,,CA,,Apartment,94301
"$3,189 ","$4,086 ","$5,481 ",,,South San Francisco,"398-405 Cypress Ave, South San Francisco, CA 94080",Cadence,https://www.apartments.com/cadence-south-san-francisco-ca/9pskr57/,,,CA,,Apartment,94080
"$2,130 ","$1,922 ",,,,Martinez,"142 Fig Tree Ln, Martinez, CA 94553",TERRA MARTINEZ,https://www.apartments.com/terra-martinez-martinez-ca/hbmpw73/,,,CA,,Apartment,94553
"$1,405 ","$2,180 ",,,,Sacramento,"1500 7th St, Sacramento, CA 95814",Capitol Towers,https://www.apartments.com/capitol-towers-sacramento-ca/mqfe28k/,,,CA,"$1,435 ",Apartment,95814
"$1,525 ","$1,925 ",,,,Rancho Cordova,"3175 Data Dr, Rancho Cordova, CA 95670",BDX AT CAPITAL VILLAGE,https://www.apartments.com/bdx-at-capital-village-rancho-cordova-ca/tjpdbq9/,,,CA,"$1,535 ",Apartment,95670
"$2,625 ","$2,895 ","$4,805 ",,,Oakland,"255 9th Ave, Oakland, CA 94606",Orion,https://www.apartments.com/orion-oakland-ca/21eze18/,,,CA,"$2,404 ",Apartment,94606
"$2,300 ","$2,499 ",,,,Camarillo,"352 Townsite Promenade, Camarillo, CA 93010",Las Positas Apartments,https://www.apartments.com/las-positas-apartments-camarillo-ca/q3lngfx/,,,CA,,Apartment,93010
"$1,964 ","$2,347 ","$2,932 ",,,Downey,"9140 Brookshire Ave, Downey, CA 90240",Parc at 5 Apartments,https://www.apartments.com/parc-at-5-apartments-downey-ca/vdx289e/,,,CA,,Apartment,90240
"$5,185 ","$6,185 ",,,,Los Angeles,"8500 W Sunset Blvd, Los Angeles, CA 90069",The Apartment Residences at AKA,https://www.apartments.com/the-apartment-residences-at-aka-los-angeles-ca/x4brlmm/,,,CA,,Apartment,90069
"$1,970 ","$2,075 ","$2,485 ",,,Rocklin,"6201 W Oaks Blvd, Rocklin, CA 95765",The James,https://www.apartments.com/the-james-rocklin-ca/20fqev8/,,,CA,,Apartment,95765
"$2,621 ","$3,078 ","$3,959 ",,,El Cerrito,"512 El Cerrito Plz, El Cerrito, CA 94530",Metro 510,https://www.apartments.com/metro-510-el-cerrito-ca/4m025wl/,,,CA,"$2,491 ",Apartment,94530
"$1,510 ","$1,750 ","$2,305 ",,,Roseville,"1100 Roseville Pky, Roseville, CA 95678",PINNACLE AT GALLERIA,https://www.apartments.com/pinnacle-at-galleria-roseville-ca/9j2cg76/,,,CA,,Apartment,95678
"$2,375 ","$3,475 ",,,,Long Beach,"230 W 3rd St, Long Beach, CA 90802",The Pacific,https://www.apartments.com/the-pacific-long-beach-ca/6k8p0nr/,,,CA,"$2,460 ",Apartment,90802
"$1,440 ","$1,505 ","$2,030 ",,,Sacramento,"1761 Heritage Ln, Sacramento, CA 95815",FOUNTAINS AT POINT WEST,https://www.apartments.com/fountains-at-point-west-sacramento-ca/b4rgfkb/,,,CA,"$1,195 ",Apartment,95815
"$2,219 ","$2,220 ",,,,Fremont,"1440 Mowry Ave, Fremont, CA 94538",TERRA FREMONT,https://www.apartments.com/terra-fremont-fremont-ca/qw527bw/,,,CA,,Apartment,94538
"$2,083 ","$2,826 ","$3,551 ",,,Irvine,"2555 Main St, Irvine, CA 92614",Main Street Village,https://www.apartments.com/main-street-village-irvine-ca/jl8gs35/,,,CA,,Apartment,92614
"$2,748 ","$3,779 ",,,,Los Angeles,"6200 Hollywood Blvd, Los Angeles, CA 90028",El Centro Apartments and Bungalows,https://www.apartments.com/el-centro-apartments-and-bungalows-los-angeles-ca/m5m52rl/,,,CA,"$2,413 ",Apartment,90028
"$2,665 ","$3,455 ","$4,895 ",,,Los Angeles,"6677 W Santa Monica Blvd, Los Angeles, CA 90038",AVA Hollywood at La Pietra Place,https://www.apartments.com/ava-hollywood-at-la-pietra-place-los-angeles-ca/jplj494/,,,CA,"$2,425 ",Apartment,90038
"$1,250 ","$1,485 ",,,,Sacramento,"6430 Verner Ave, Sacramento, CA 95841",COPPER CREEK,https://www.apartments.com/copper-creek-sacramento-ca/txjbzwc/,,,CA,,Apartment,95841
,,,,,Sacramento,"1714 21st St, Sacramento, CA 95811",The Press,https://www.apartments.com/the-press-sacramento-ca/8k68em0/,,,CA,,Apartment,95811
"$2,095 ","$2,445 ",,,,Folsom,"101 Pique Loop, Folsom, CA 95630",THE PIQUE,https://www.apartments.com/the-pique-folsom-ca/t9yx7xb/,,,CA,,Apartment,95630
"$2,149 ","$2,699 ","$4,675 ",,,Los Angeles,"725 S Bixel St, Los Angeles, CA 90017",The Medici,https://www.apartments.com/the-medici-los-angeles-ca/ln7xd0d/,,,CA,"$1,949 ",Apartment,90017
"$2,925 ","$3,964 ","$5,938 ",,,Los Angeles,"6220 W 3rd St, Los Angeles, CA 90036",Palazzo West,https://www.apartments.com/palazzo-west-los-angeles-ca/lcvb9pg/,,,CA,,Apartment,90036
"$2,222 ","$2,768 ","$4,009 ",,,Los Angeles,"14500 Sherman Cir, Los Angeles, CA 91405",IMT Sherman Circle,https://www.apartments.com/imt-sherman-circle-los-angeles-ca/zkgf4zx/,,,CA,,Apartment,91405
"$1,898 ","$2,098 ",,,,San Marcos,"601 S Twin Oaks Valley Rd, San Marcos, CA 92078",Prominence Luxury Apartments I,https://www.apartments.com/prominence-luxury-apartments-i-san-marcos-ca/bqtz2q8/,,,CA,,Apartment,92078
